session,repeats,decoder_auc_home,decoder_auc_cross,decoder_auc_crossover,decoder_balacc_crossover
sub-619293_ses-1184980079,24,0.5610712756787971,0.5625517134035175,-0.0014804377247204,0.0014036239672391
sub-619296_ses-1187930705,24,0.7663320822058988,0.7397546510477474,0.0265774311581513,0.0171501968368261
sub-620333_ses-1188137866,24,0.6335473957632924,0.6242645956415789,0.0092828001217135,0.0058548422010882
sub-620334_ses-1189887297,24,0.6539586610008019,0.6420435875852514,0.0119150734155506,0.0105995773297106
sub-625545_ses-1182865981,24,0.6716766824480129,0.6544303572212811,0.0172463252267318,0.0150665126965484
sub-625554_ses-1181330601,24,0.7639117244293469,0.7345946054322064,0.0293171189971402,0.0230096158491648
sub-625555_ses-1183070926,24,0.593210726363579,0.5897984097267585,0.0034123166368205,-0.0013997245514876
sub-630506_ses-1192952695,24,0.6681785596493564,0.6556771218527968,0.0125014377965595,0.009261618475862
sub-631510_ses-1196157974,24,0.6726814856347558,0.6329376689552676,0.0397438166794882,0.0261115712887493
sub-631570_ses-1194857009,24,0.6637196626180296,0.6418101361168953,0.0219095265011342,0.0157191629942036
sub-633229_ses-1199247593,24,0.7642320986312279,0.753677022132814,0.0105550764984138,0.0062614313222391
sub-637484_ses-1208667752,24,0.6193733841385572,0.6067520226835905,0.0126213614549667,0.0076356676109289
