graph_seed,graph_id,V_shared_mid,V_shared_sparse,V_specialized_mid,V_specialized_sparse,J_shared,J_specialized_policy,D_g,d_mid,d_sparse,both_observed_losses_le_epsilon,descriptive_tradeoff_quadrant
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.3974904579420884,0.35111026900509995,0.42489380699892837,0.3952223900705576,0.35111026900509995,0.3952223900705576,0.04411212106545764,0.027403349056839943,0.04411212106545764,False,mid_loss / sparse_loss
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.35022620235880214,0.38591769834359485,0.358649214108785,0.4106918939699729,0.35022620235880214,0.358649214108785,0.008423011749982834,0.008423011749982834,0.02477419562637806,False,mid_loss / sparse_loss
93003,scale_free-N256-p005-seed93003-sha256:234d7bf6ac0d51fcfd36f56ea32e89c4bb71b469da7a8b37011291c6a2093fb2,0.3380378584067027,0.2942233129094044,0.44157252336541813,0.2766150326157609,0.2942233129094044,0.2766150326157609,-0.017608280293643475,0.10353466495871544,-0.017608280293643475,False,mid_loss / sparse_shared_gain
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.3736878000199795,0.3191438938180605,0.4696685653179884,0.3292698723574479,0.3191438938180605,0.3292698723574479,0.010125978539387404,0.09598076529800892,0.010125978539387404,False,mid_loss / sparse_loss
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.4261309492091338,0.338440902531147,0.41784922281901044,0.4549853950738907,0.338440902531147,0.41784922281901044,0.07940832028786343,-0.008281726390123367,0.11654449254274368,False,mid_shared_gain / sparse_loss
93006,scale_free-N256-p005-seed93006-sha256:4a4f3367e92d3222badd09d0aa9b0e591269dc9063366e3cfdd8e55cb612f80c,0.4640852063894272,0.25599812716245646,0.46129915677011013,0.38092325689891976,0.25599812716245646,0.38092325689891976,0.1249251297364633,-0.0027860496193170547,0.1249251297364633,False,mid_shared_gain / sparse_loss
93007,scale_free-N256-p005-seed93007-sha256:1ced4f9584caffc9f54640b78134e83add21c471e07d0ec04a80db4ed9ab4e88,0.3983548718194167,0.29312954253206647,0.40454146700600785,0.30937453607718146,0.29312954253206647,0.30937453607718146,0.016244993545114994,0.006186595186591148,0.016244993545114994,True,mid_loss / sparse_loss
93008,scale_free-N256-p005-seed93008-sha256:05f60c2c1c660bea8e1cece98b3ce850f1b691cdba1f27b3410c1d5838c97dba,0.46976247678200406,0.28564742983629304,0.40409584653874236,0.4177938736975193,0.28564742983629304,0.40409584653874236,0.11844841670244932,-0.06566663024326169,0.13214644386122626,False,mid_shared_gain / sparse_loss
93009,scale_free-N256-p005-seed93009-sha256:c4651732bb417b95e053fd5e0202728c1b4c9b780895450248d0c8fdeef0a19f,0.42327363913257915,0.4108807860563199,0.4301479098697503,0.4118821769952774,0.4108807860563199,0.4118821769952774,0.0010013909389575137,0.006874270737171173,0.0010013909389575137,True,mid_loss / sparse_loss
93010,scale_free-N256-p005-seed93010-sha256:d05569bee043f50eae7b4edce69e432391fd5e2042faf0bd016ac63a74e652da,0.41602592046062153,0.39403051262100536,0.47176293780406314,0.35469522637625533,0.39403051262100536,0.35469522637625533,-0.03933528624475002,0.05573701734344161,-0.03933528624475002,False,mid_loss / sparse_shared_gain
93011,scale_free-N256-p005-seed93011-sha256:2e5d468e9e29a1e76c4abf43c2b978010ddc03104b821c27299f65f31a750a30,0.3698810463150342,0.3464929834008217,0.39398991999526817,0.3798387298981349,0.3464929834008217,0.3798387298981349,0.0333457464973132,0.024108873680233955,0.0333457464973132,False,mid_loss / sparse_loss
93012,scale_free-N256-p005-seed93012-sha256:fb4a04d49cfa033d223282178b8976510739bfd82d6837a764845ebd411fc6e7,0.40230624998609227,0.3205381262426575,0.3073139221717914,0.29864850329856074,0.3205381262426575,0.29864850329856074,-0.021889622944096743,-0.09499232781430089,-0.021889622944096743,True,mid_shared_gain / sparse_shared_gain
