container_id,n_cells,n_states,between_var,within_var,backbone_fraction
782536745,55,3,0.04249420796700261,0.03485597802074445,0.5493743476419573
791352433,21,3,0.04226986011730761,0.03562592717196687,0.5426462917735703
803516615,258,3,0.05375490480808256,0.03417301485714656,0.611351946147997
803517529,87,3,0.045427774207789956,0.03736195898467218,0.5487126538043497
803589437,126,3,0.06422150841369459,0.02939831527763592,0.6859819414468915
812858755,72,3,0.06114599707775173,0.031076343433626457,0.6630280335403944
814796612,100,3,0.06255987151262635,0.025390820963171155,0.7113061847675813
814797528,19,3,0.06069811441125261,0.018275862666121533,0.7685837367894502
825183217,12,3,0.0395069201858266,0.045284947440162086,0.46592817556618765
829561794,104,3,0.05501766343150019,0.029300843074442598,0.6524980779589892
843049827,73,3,0.06059606152691884,0.026695852765092676,0.694177255916408
928325203,9,3,0.07650404623339097,0.012859321352911098,0.8561007524644559
929913236,13,3,0.047971909296449185,0.04044246441849929,0.5425804343885595
941373529,16,3,0.0715200939048144,0.012788297560182401,0.8483152467036231
957024596,9,3,0.05686271761973838,0.02752924994479736,0.6737930073292183
957570596,16,3,0.04702187815266144,0.029183168522995368,0.6170441487004859
969421516,7,3,0.0425496373252321,0.029619943113856607,0.5895785601960661
975371413,7,3,0.05069265977996136,0.03463275279247501,0.5941097529053986
989461845,10,3,0.03613497017324159,0.0502104345625012,0.4184932630037632
991913246,10,3,0.05355187376725838,0.029098491489517136,0.6479326933509021
991913453,9,3,0.08693694008365935,0.011441865283493372,0.883695830206598
1006071814,6,3,0.03954780534790031,0.012672854387004438,0.7573210593022479
