variant,graph_seed,repeat,state,best_search_score,objective,heldout_home_score
alternative,93001,0,sparse_drive,0.7859876751899719,alternative_spectral,0.3414788022637367
alternative,93001,0,transition_mid,0.8089140057563782,alternative_spectral,0.41532738506793976
alternative,93002,0,sparse_drive,0.7787013053894043,alternative_spectral,0.36466865986585617
alternative,93002,0,transition_mid,0.8065525889396667,alternative_spectral,0.3569885119795799
alternative,93003,0,sparse_drive,0.7664287090301514,alternative_spectral,0.3457060940563679
alternative,93003,0,transition_mid,0.8254069089889526,alternative_spectral,0.39175991527736187
alternative,93004,0,sparse_drive,0.7698653936386108,alternative_spectral,0.2619835175573826
alternative,93004,0,transition_mid,0.8179231286048889,alternative_spectral,0.3371554985642433
alternative,93005,0,sparse_drive,0.7534868121147156,alternative_spectral,0.30218692868947983
alternative,93005,0,transition_mid,0.8192111253738403,alternative_spectral,0.3312533963471651
alternative,93006,0,sparse_drive,0.7936891913414001,alternative_spectral,0.2525428868830204
alternative,93006,0,transition_mid,0.8265203237533569,alternative_spectral,0.33740238286554813
alternative,93007,0,sparse_drive,0.7599823474884033,alternative_spectral,0.3380194716155529
alternative,93007,0,transition_mid,0.8104445338249207,alternative_spectral,0.41424665600061417
alternative,93008,0,sparse_drive,0.78934645652771,alternative_spectral,0.30370616167783737
alternative,93008,0,transition_mid,0.8335682153701782,alternative_spectral,0.3850548043847084
alternative,93009,0,sparse_drive,0.7800082564353943,alternative_spectral,0.2950468808412552
alternative,93009,0,transition_mid,0.8256164789199829,alternative_spectral,0.42187956906855106
alternative,93010,0,sparse_drive,0.7862738370895386,alternative_spectral,0.3446387518197298
alternative,93010,0,transition_mid,0.8245334029197693,alternative_spectral,0.3716562520712614
alternative,93011,0,sparse_drive,0.7944259643554688,alternative_spectral,0.43686554953455925
alternative,93011,0,transition_mid,0.8202077150344849,alternative_spectral,0.30028987117111683
alternative,93012,0,sparse_drive,0.7811157703399658,alternative_spectral,0.33473104424774647
alternative,93012,0,transition_mid,0.804027795791626,alternative_spectral,0.39160448499023914
matched,93001,0,sparse_drive,0.13105517625808716,primary,0.09154675900936123
matched,93001,0,transition_mid,0.14452090859413147,primary,0.11003560665994877
matched,93002,0,sparse_drive,0.10737252235412598,primary,0.08040932379662988
matched,93002,0,transition_mid,0.1332961916923523,primary,0.10685596615076061
matched,93003,0,sparse_drive,0.12958532571792603,primary,0.10704101063311092
matched,93003,0,transition_mid,0.1612267643213272,primary,0.10218341089785093
matched,93004,0,sparse_drive,0.11181657016277313,primary,0.08268314413726327
matched,93004,0,transition_mid,0.1271638423204422,primary,0.10639856476336712
matched,93005,0,sparse_drive,0.12156981974840164,primary,0.11784452944993967
matched,93005,0,transition_mid,0.17325858771800995,primary,0.13048964925110337
matched,93006,0,sparse_drive,0.11198101192712784,primary,0.10053254663944242
matched,93006,0,transition_mid,0.17353442311286926,primary,0.13292128406465048
matched,93007,0,sparse_drive,0.10245078802108765,primary,0.06206914084032175
matched,93007,0,transition_mid,0.16852763295173645,primary,0.12844833917915816
matched,93008,0,sparse_drive,0.12004433572292328,primary,0.08980555739253755
matched,93008,0,transition_mid,0.20541927218437195,primary,0.1623281612992286
matched,93009,0,sparse_drive,0.10005158931016922,primary,0.08066817931830877
matched,93009,0,transition_mid,0.1743377447128296,primary,0.17673875577747816
matched,93010,0,sparse_drive,0.1073676198720932,primary,0.07755566202104087
matched,93010,0,transition_mid,0.13150621950626373,primary,0.10040560085326428
matched,93011,0,sparse_drive,0.1258639246225357,primary,0.1142590176314115
matched,93011,0,transition_mid,0.19058983027935028,primary,0.12761397194117302
matched,93012,0,sparse_drive,0.12595105171203613,primary,0.0669103194959461
matched,93012,0,transition_mid,0.11794102936983109,primary,0.1012556357309222
primary,93001,0,sparse_drive,0.5760567784309387,primary,0.3550690170377493
primary,93001,0,transition_mid,0.5881969332695007,primary,0.43575872853398323
primary,93002,0,sparse_drive,0.566407322883606,primary,0.30080878734588623
primary,93002,0,transition_mid,0.6195114850997925,primary,0.3103251177817583
primary,93003,0,sparse_drive,0.5679755210876465,primary,0.24771216511726377
primary,93003,0,transition_mid,0.6183724403381348,primary,0.3765147216618061
primary,93004,0,sparse_drive,0.5941661596298218,primary,0.2630104292184114
primary,93004,0,transition_mid,0.6165884137153625,primary,0.38437171280384064
primary,93005,0,sparse_drive,0.5866584777832031,primary,0.3238718565553427
primary,93005,0,transition_mid,0.6002399921417236,primary,0.4451264217495918
primary,93006,0,sparse_drive,0.5925424098968506,primary,0.2792469058185816
primary,93006,0,transition_mid,0.6121916174888611,primary,0.46101636439561844
primary,93007,0,sparse_drive,0.5679002404212952,primary,0.2793926578015089
primary,93007,0,transition_mid,0.5979865193367004,primary,0.321071021258831
