cre_type,C_primary_shared
vip,1.0890859518798333
pvalb,0.8061453852712431
unknown,1.42327652575814
vip,1.095176728355268
vip,1.0952603876603302
vip,0.95154620173807
unknown,1.424864478756144
unknown,1.2787564649048495
vip,1.1245477354674136
sst,1.4796157645070698
sst,1.4901809365090282
vip,1.5052290210855483
pvalb,1.0506070993007426
sst,1.2513834697905604
unknown,1.6864729125420457
sst,1.055786846100942
unknown,1.2523687012688232
unknown,1.3160381603370408
nr5a1,1.240179563436492
unknown,1.3297778497366997
tlx3,1.337375830480302
tlx3,1.3187589364546797
vip,1.302330414139266
unknown,1.485135443565936
vip,1.3779260040643535
vip,1.115365215471216
vip,1.0747432317485135
tlx3,1.354723803232378
tlx3,1.2452805714066713
unknown,1.0577409946282352
sst,1.4451381789095294
tlx3,1.42183054501561
tlx3,1.3124195321586345
tlx3,1.6276526423023037
tlx3,1.5163010114334188
vip,1.4762541056809737
vip,1.5271723491168294
unknown,1.3921589053931271
pvalb,0.9645834455088952
pvalb,0.8990625232159701
unknown,1.3457410656624649
tlx3,1.2707800403666984
tlx3,1.3513466816237727
tlx3,1.480734059947065
pvalb,0.8329660541823597
sst,1.2235396238919585
sst,1.4858337936942865
pvalb,1.0227672263641303
vip,1.1656156625317655
unknown,1.432204570359379
vip,1.5481991757245042
tlx3,1.4512653954407926
vip,1.3622956057134146
pvalb,1.0843903389587706
unknown,1.6120360079433271
unknown,1.4443984177805274
sst,1.1189803373129277
sst,1.2242542329351664
sst,1.2585231653360884
sst,1.0659615285835156
tlx3,1.5595868580284444
sst,1.2971011195696351
tlx3,1.4073868910839742
unknown,1.0310061024992028
vip,1.1755722869620364
tlx3,1.3472790909888783
pvalb,0.8095220888956018
pvalb,0.8559256220038501
pvalb,0.6244324544405323
tlx3,1.4276168585814213
sst,1.4015834252831898
sst,1.3086057094356658
sst,1.3818951906951122
sim1,1.3196209495756297
sst,1.290839497668705
ntsr1,1.3129774582674334
ntsr1,1.5750402481683303
ntsr1,1.471356636384722
ntsr1,1.303824331659153
pvalb,0.686205821606233
tlx3,1.3529123584874096
tlx3,1.3184332146823616
unknown,1.5939527146456325
unknown,1.3567042058271088
unknown,1.4137136605558116
unknown,1.3623143726019613
sst,1.485766567028966
sst,1.3277626281681507
unknown,1.4406456300164077
sst,1.3087947328079097
sim1,1.3540937263664576
sim1,1.3855371105720709
ntsr1,1.5878021679821883
vip,1.3854378416599675
vip,1.3031785158250038
vip,1.222816400889659
sst,1.7393849670364523
tlx3,1.361882760484629
tlx3,1.4961169382335464
unknown,0.934412292297828
vip,1.187549820644061
ntsr1,1.3016445674765151
ntsr1,1.2493245300643678
ntsr1,1.3850042201918609
ntsr1,1.2726976435121486
pvalb,1.4853239172675758
vip,1.5239768536229508
pvalb,0.7098051271714466
vip,1.4991423745015549
pvalb,0.9491167673872838
vip,1.3485310913122897
pvalb,0.8362835274589203
tlx3,1.2561795707897898
pvalb,1.0716967536310495
pvalb,0.7562457278298276
sst,1.311782841657489
sst,1.358280679016108
ntsr1,1.3657820692358449
ntsr1,1.4817338285570707
ntsr1,1.317165178528246
ntsr1,1.3595012977824912
vip,1.3535894110441362
pvalb,0.4698522862372711
pvalb,0.8994310367425935
vip,1.45894407144731
pvalb,0.9363993706204348
pvalb,0.8852058740026654
vip,1.4750530062771812
pvalb,0.7038678521244297
pvalb,0.7376523282521237
vip,1.349797765646021
vip,1.3161791044303095
vip,1.367195258077358
ntsr1,1.229617645996118
pvalb,0.939651252314643
pvalb,0.8032950071369289
sim1,1.4137465138871872
sim1,1.4019766970249543
sim1,1.44053635364522
sst,1.48177092719876
sst,1.5364382982123084
sst,1.3203840964690496
unknown,1.2909035242242122
unknown,1.3434936569198122
unknown,1.3156476610472552
vip,1.365502729900082
vip,1.331971022658108
unknown,1.5719315391889035
pvalb,0.9986412690447554
vip,1.3204497260107495
pvalb,0.922589735719196
pvalb,0.890470499587932
unknown,1.2995769918236633
unknown,1.1112212867244058
sst,1.1354088822176538
tlx3,1.24349533454105
tlx3,1.203264746324932
ntsr1,1.4009335604080804
ntsr1,1.452452536433651
ntsr1,1.397318150676709
sst,1.1779983711964508
sst,1.0024615075194578
tlx3,1.297192900762809
sst,1.183480072673
unknown,1.3856773379136909
sst,1.0355711786970532
tlx3,1.4208262681366897
sst,1.389403492100253
pvalb,0.8304254125258592
vip,1.572138545606222
unknown,1.390520282992407
sim1,1.343036120754692
sim1,1.341249678277336
