topology,median,mean,n,positive_fraction
scale_free,0.5,0.46335565476190477,448,0.8303571428571429
er,0.0,0.11407947398513435,583,0.4202401372212693
modular,0.0,0.04318864642631246,527,0.29411764705882354
small_world,0.0,-0.18088217111770524,337,0.18991097922848665
