graph_seed,state,repeat_1,repeat_2,jaccard
93001,sparse_drive,7,19,0.6410256410256411
93001,sparse_drive,8,9,0.5609756097560976
93001,sparse_drive,8,10,0.6842105263157895
93001,sparse_drive,8,11,0.45454545454545453
93001,sparse_drive,8,12,0.5238095238095238
93001,sparse_drive,8,13,0.45454545454545453
93001,sparse_drive,8,14,0.45454545454545453
93001,sparse_drive,8,15,0.4883720930232558
93001,sparse_drive,8,16,0.5238095238095238
93001,sparse_drive,8,17,0.4883720930232558
93001,sparse_drive,8,18,0.5609756097560976
93001,sparse_drive,8,19,0.5609756097560976
93001,sparse_drive,9,10,0.6
93001,sparse_drive,9,11,0.5609756097560976
93001,sparse_drive,9,12,0.5238095238095238
93001,sparse_drive,9,13,0.5609756097560976
93001,sparse_drive,9,14,0.5609756097560976
93001,sparse_drive,9,15,0.5238095238095238
93001,sparse_drive,9,16,0.4222222222222222
93001,sparse_drive,9,17,0.7297297297297297
93001,sparse_drive,9,18,0.7777777777777778
93001,sparse_drive,9,19,0.7777777777777778
93001,sparse_drive,10,11,0.5238095238095238
93001,sparse_drive,10,12,0.6
93001,sparse_drive,10,13,0.4883720930232558
93001,sparse_drive,10,14,0.5609756097560976
93001,sparse_drive,10,15,0.6
93001,sparse_drive,10,16,0.6
93001,sparse_drive,10,17,0.5609756097560976
93001,sparse_drive,10,18,0.6
93001,sparse_drive,10,19,0.6410256410256411
93001,sparse_drive,11,12,0.4883720930232558
93001,sparse_drive,11,13,0.6
93001,sparse_drive,11,14,0.5609756097560976
93001,sparse_drive,11,15,0.45454545454545453
93001,sparse_drive,11,16,0.391304347826087
93001,sparse_drive,11,17,0.4883720930232558
93001,sparse_drive,11,18,0.4883720930232558
93001,sparse_drive,11,19,0.5238095238095238
93001,sparse_drive,12,13,0.45454545454545453
93001,sparse_drive,12,14,0.6
93001,sparse_drive,12,15,0.45454545454545453
93001,sparse_drive,12,16,0.45454545454545453
93001,sparse_drive,12,17,0.45454545454545453
