window,complexity_fraction,rhythm_transition_strength_mean,rhythm_transition_strength_std,rhythm_transition_strength_n,rhythm_transition_strength_sem,rhythm_transition_strength_ci95,source_fraction_column,semantic_fraction_name
frequency_transition,0.0,0.0,0.0,24,0.0,0.0,hh_fraction,high-complexity fraction
frequency_transition,0.05,1.222644431999613,1.075742454977736,24,0.21958500911202994,0.43038661785957866,hh_fraction,high-complexity fraction
frequency_transition,0.08,0.6385775415304944,0.4028060987767024,24,0.08222245060700337,0.1611560031897266,hh_fraction,high-complexity fraction
frequency_transition,0.1,0.6086053588457535,0.6619535408942352,24,0.1351207007182862,0.26483657340784095,hh_fraction,high-complexity fraction
frequency_transition,0.12,0.9845029178790111,1.2491584473440223,24,0.25498340032334527,0.4997674646337567,hh_fraction,high-complexity fraction
frequency_transition,0.15,1.5089725977417832,1.421319217732693,24,0.2901255704214035,0.5686461180259509,hh_fraction,high-complexity fraction
frequency_transition,0.18,1.997055169509648,1.3839201339169698,24,0.28249151440506165,0.5536833682339208,hh_fraction,high-complexity fraction
frequency_transition,0.2,5182715.631565137,8735423.037368307,24,1783110.7607421286,3494897.091054572,hh_fraction,high-complexity fraction
frequency_transition,0.22,2.739417939258308,2.016950501496941,24,0.4117082970931787,0.8069482623026302,hh_fraction,high-complexity fraction
frequency_transition,0.25,11654774.861758316,21566067.09259958,24,4402155.011291375,8628223.822131095,hh_fraction,high-complexity fraction
frequency_transition,0.3,20831309.242174644,29495946.451430954,24,6020834.857205167,11800836.320122128,hh_fraction,high-complexity fraction
frequency_transition,1.0,1.175396291449602,0.8219232747348809,24,0.16777438590148758,0.3288377963669156,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.0,705900.7041369248,1062259.5735021029,40,167957.9859292845,329197.6524213976,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.2,4787780.541367391,9168226.950808857,40,1449623.9634948252,2841262.968449857,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.25,9088060.2532035,16518888.339739814,40,2611865.578378757,5119256.533622364,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.3,4189322.138731067,12936674.286968919,40,2045467.8047278253,4009116.8972665374,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.35,1.045765719842663,0.8328905768723023,40,0.13169156323040176,0.25811546393158746,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.4,1.5874553658023793,1.280336173968199,40,0.20243892402225458,0.39678029108361895,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.5,1.0958720084715847,0.6563576883705607,40,0.10377926275069915,0.20340735499137033,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.6,1.1540274141159006,0.8822057979267369,40,0.139488984322737,0.2733984092725645,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.7,1.3137956762800305,1.1564050064457523,40,0.18284368589951364,0.3583736243630467,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.8,1.166646912857819,0.9473412264067432,40,0.14978779984112794,0.2935840876886108,hh_fraction,high-complexity fraction
heterogeneity_optimum,1.0,13840490.773758505,18862169.15110195,40,2982370.8064423427,5845446.780626992,hh_fraction,high-complexity fraction
sparse_complexity,0.0,550156.0979574444,700921.6300071069,32,123906.60941458838,242856.95445259323,hh_fraction,high-complexity fraction
sparse_complexity,0.0025,7.83364349241392,5.389152007227376,32,0.9526764822888929,1.86724590528623,hh_fraction,high-complexity fraction
sparse_complexity,0.005,1.3034267007355471,0.9194514418967369,32,0.16253758738423288,0.31857367127309644,hh_fraction,high-complexity fraction
sparse_complexity,0.0075,5.948423804191595,3.4533455119455736,32,0.6104710073192111,1.1965231743456537,hh_fraction,high-complexity fraction
sparse_complexity,0.01,6.410667117083831,4.485802953687002,32,0.7929854219046808,1.5542514269331744,hh_fraction,high-complexity fraction
sparse_complexity,0.015,2.777921398375718,1.5524726129427566,32,0.27444097805455536,0.5379043169869285,hh_fraction,high-complexity fraction
sparse_complexity,0.02,2.7648752283473175,2.5033260029362556,32,0.44252969804921033,0.8673582081764523,hh_fraction,high-complexity fraction
sparse_complexity,0.025,2.1511323593558234,2.247323683300113,32,0.39727445399565975,0.7786579298314931,hh_fraction,high-complexity fraction
sparse_complexity,0.03,3.057713640853132,1.7349219588322635,32,0.3066937704799354,0.6011197901406734,hh_fraction,high-complexity fraction
sparse_complexity,0.04,1.4129212526940509,1.0312589195199768,32,0.1823025437879219,0.3573129858243269,hh_fraction,high-complexity fraction
sparse_complexity,0.05,1427617.3679274456,2901277.309356662,32,512878.2148871891,1005241.3011788906,hh_fraction,high-complexity fraction
sparse_complexity,1.0,17099455.515171476,25214030.019125804,32,4457252.901891258,8736215.687706865,hh_fraction,high-complexity fraction
