graph_seed,graph_id,grid_mean_gain,difference_in_grid_minima,minimum_conditionwise_gain,positive_conditions,n_conditions,A_shared_grid_mean,A_shared_grid_min,A_mid_grid_mean,A_mid_grid_min,A_sparse_grid_mean,A_sparse_grid_min,shared_random_grid_mean,shared_random_grid_min,A_pool_grid_mean,A_pool_grid_min,spectral_grid_mean,spectral_grid_min
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.15074837656898632,0.08666798006743193,0.07340481473753849,15,15,0.3449314315492908,0.2195869743203123,0.3164626462178098,0.21988673135638234,0.3418441410693857,0.2697409360359112,0.19418305498030447,0.13291899425288037,0.35672876731389097,0.26786735219260055,0.33929722126987244,0.26299325283616776
93002,scale_free-N256-p005-seed93002-sha256:34b89fb8efaff2ca28bdb481e51da6a21e3fdf4bf71bbd8bdfdd9dcfbe5bab09,0.20625224027575723,0.20544690359383824,0.10006649233400822,15,15,0.37338217550681707,0.3312585062036911,0.30713248908933666,0.2349854136506716,0.33567081544962196,0.2357984197636445,0.16712993523105976,0.12581160260985289,0.32318569790158,0.26109698414802546,0.33191228848364607,0.2741096261888742
93003,scale_free-N256-p005-seed93003-sha256:234d7bf6ac0d51fcfd36f56ea32e89c4bb71b469da7a8b37011291c6a2093fb2,0.13695707310818964,0.1298884404823184,0.030092298674086748,15,15,0.33312748554680083,0.26293988277514774,0.29832556390513976,0.25122731116910774,0.31926338678846755,0.2610624271134535,0.19617041243861116,0.13305144229282934,0.32857337053865193,0.25959083003302413,0.3277546539902687,0.2242367000629504
93004,scale_free-N256-p005-seed93004-sha256:a6849cc129179b1935da786a7c43b504b4430f7301b5482a22b960610ee37bf2,0.15885747970702752,0.1309325738499562,0.0711086401715875,15,15,0.33879406888865754,0.2518480395277341,0.3202971445603503,0.2537685663749774,0.33243105057626965,0.25572699370483554,0.1799365891816301,0.12091546567777789,0.3421215502752198,0.2786433355261882,0.3493533476773235,0.28618057227383054
93005,scale_free-N256-p005-seed93005-sha256:55d0c0e634458619fcaa46200af2e7da623d5bc667069326e0d4e215a8552d59,0.16310595272936762,0.1876579999613265,0.11125301228215301,15,15,0.35789891969826476,0.32408773433417076,0.33063848248372474,0.2344684644291798,0.366294733248651,0.314629690721631,0.1947929669688973,0.13642973437284425,0.3063281208483709,0.26121998205780983,0.356590028024382,0.26836388247708476
93006,scale_free-N256-p005-seed93006-sha256:4a4f3367e92d3222badd09d0aa9b0e591269dc9063366e3cfdd8e55cb612f80c,0.12886476936853597,0.14197568129748106,0.03457264540096128,15,15,0.34419699708620716,0.28260554373264307,0.34103253688663243,0.2632349673658609,0.353495263804992,0.2968200929462909,0.21533222771767108,0.140629862435162,0.3477681965256731,0.26613854306439555,0.32712084357109333,0.2629316113889217
93007,scale_free-N256-p005-seed93007-sha256:1ced4f9584caffc9f54640b78134e83add21c471e07d0ec04a80db4ed9ab4e88,0.1176883499345018,0.10266458118955296,0.06949451006948948,15,15,0.30895928016139407,0.25323253062864143,0.2970733953846825,0.2476730191459258,0.33360912034081086,0.28193647104005015,0.19127093022689218,0.15056794943908847,0.34852034550988,0.23172177933156488,0.33514648299250344,0.26188058995952207
93008,scale_free-N256-p005-seed93008-sha256:05f60c2c1c660bea8e1cece98b3ce850f1b691cdba1f27b3410c1d5838c97dba,0.13262201746304833,0.12807086824129027,0.03481890788922706,15,15,0.3300513973873523,0.2687167233477036,0.3370824368877543,0.2686371734986702,0.36806893717083666,0.3194246366620063,0.19742937992430393,0.1406458551064133,0.34949235425641145,0.26802383549511427,0.3132729264597098,0.2725531452645858
93009,scale_free-N256-p005-seed93009-sha256:c4651732bb417b95e053fd5e0202728c1b4c9b780895450248d0c8fdeef0a19f,0.2453760388410754,0.2068909895606339,0.167395091149956,15,15,0.36449442990124226,0.270992562174797,0.32966987128472985,0.23274190568675593,0.38303119664390883,0.3211005330085754,0.11911839106016685,0.06410157261416312,0.3545687163662579,0.27711457945406437,0.2978336464199755,0.2654235878338416
93010,scale_free-N256-p005-seed93010-sha256:d05569bee043f50eae7b4edce69e432391fd5e2042faf0bd016ac63a74e652da,0.18388051543798714,0.12356787361204627,0.08633893091852465,15,15,0.34957871230112175,0.24090331792831418,0.34485553695509824,0.27178081373373664,0.3638181374304824,0.2988423698892196,0.16569819686313467,0.11733544431626791,0.32391338124871255,0.2694219869251052,0.31154422457847325,0.2844862658530473
93011,scale_free-N256-p005-seed93011-sha256:2e5d468e9e29a1e76c4abf43c2b978010ddc03104b821c27299f65f31a750a30,0.1764775312557403,0.18757697885545588,0.04364841245114803,15,15,0.3533546146833234,0.29469733685255045,0.30012623928487303,0.23742093952993548,0.3354844878324204,0.2714763587961594,0.17687708342758318,0.10712035799709456,0.3341238958554135,0.2717733240375916,0.32220239873147677,0.25939427316188807
93012,scale_free-N256-p005-seed93012-sha256:fb4a04d49cfa033d223282178b8976510739bfd82d6837a764845ebd411fc6e7,0.17392745977267626,0.16120384121313697,0.09667758891979858,15,15,0.35632315069023096,0.293672817448775,0.3298218730216224,0.27349708539744216,0.3256230204676589,0.2706085263441006,0.1823956909175548,0.13246897623563803,0.31185446776863596,0.23708368154863513,0.33160783464295995,0.24900932516902682
