regime,k,baseline,n_paired_tasks,mean_gain,ci95_low,ci95_high,median_gain,win_fraction,wilcoxon_p,wilcoxon_fdr_bh
sparse_drive,8,spectral,2,0.1016448531299829,0.0976199768483639,0.1056697294116019,0.1016448531299829,1.0,0.5,0.8181818181818182
sparse_drive,16,spectral,2,-0.0606819726526737,-0.1294062659144401,0.0080423206090926,-0.0606819726526737,0.5,1.0,1.0
sparse_drive,24,spectral,2,0.0593777447938919,-0.0017298161983489,0.1204853057861328,0.0593777447938919,0.5,1.0,1.0
sparse_drive,32,spectral,2,0.0116010233759879,-0.2025312334299087,0.2257332801818847,0.0116010233759879,0.5,1.0,1.0
sparse_drive,48,spectral,2,-0.0891674160957336,-0.275256335735321,0.0969215035438538,-0.0891674160957336,0.5,1.0,1.0
sparse_drive,64,spectral,2,-0.0405336916446685,-0.0890374183654785,0.0079700350761413,-0.0405336916446685,0.5,1.0,1.0
transition_dense,8,spectral,2,0.0895813144743442,0.0510679855942726,0.1280946433544159,0.0895813144743442,1.0,0.5,0.8181818181818182
transition_dense,16,spectral,2,0.0223451741039753,-0.0096607580780983,0.0543511062860489,0.0223451741039753,0.5,1.0,1.0
transition_dense,24,spectral,2,0.0227742195129394,-0.000594675540924,0.0461431145668029,0.0227742195129394,0.5,1.0,1.0
transition_dense,32,spectral,2,-0.0698250606656074,-0.0756065100431442,-0.0640436112880706,-0.0698250606656074,0.0,0.5,0.8181818181818182
transition_dense,48,spectral,2,0.0469113588333129,0.0226489901542663,0.0711737275123596,0.0469113588333129,1.0,0.5,0.8181818181818182
transition_dense,64,spectral,2,0.3695273399353027,0.2620441317558289,0.4770105481147766,0.3695273399353027,1.0,0.5,0.8181818181818182
transition_mid,8,spectral,2,0.069808080792427,0.0408677048981189,0.0987484566867352,0.069808080792427,1.0,0.5,0.8181818181818182
transition_mid,16,spectral,2,0.1023701168596744,0.0811900869011879,0.123550146818161,0.1023701168596744,1.0,0.5,0.8181818181818182
transition_mid,24,spectral,2,-0.0382097661495208,-0.044302761554718,-0.0321167707443237,-0.0382097661495208,0.0,0.5,0.8181818181818182
transition_mid,32,spectral,2,-0.0043693184852599,-0.0081613659858703,-0.0005772709846496,-0.0043693184852599,0.0,0.5,0.8181818181818182
transition_mid,48,spectral,2,0.1262756288051605,0.0877751111984252,0.1647761464118957,0.1262756288051605,1.0,0.5,0.8181818181818182
transition_mid,64,spectral,2,-0.0949011892080307,-0.1367849111557006,-0.0530174672603607,-0.0949011892080307,0.0,0.5,0.8181818181818182
