epsilon,k,mean_D,mean_near
0.01,8,0.42116402116402113,1.7777777777777777
0.01,32,0.13724053724053722,1.3333333333333333
0.01,64,0.030030030030030033,1.1111111111111112
0.02,8,0.6384479717813052,2.3333333333333335
0.02,32,0.13724053724053722,1.3333333333333333
0.02,64,0.07565665393779983,1.3333333333333333
0.05,8,0.9582553249219917,3.5555555555555554
0.05,32,0.4114644432476784,2.4444444444444446
0.05,64,0.17504947048405828,1.6666666666666667
