r2_threshold,state_a,state_b,n_groups,median_rho,mean_rho
0.0,familiar_active,novel_active,9,0.4460939525745109,0.4560013738270184
0.0,familiar_active,passive,10,0.4632525195436952,0.4776719501979409
0.0,novel_active,passive,15,0.49104427549194996,0.4864462494907062
0.05,familiar_active,novel_active,5,0.4460939525745109,0.4749469247376979
0.05,familiar_active,passive,6,0.4626959247648902,0.4712780928038112
0.05,novel_active,passive,7,0.572039072039072,0.5319983264973897
