placement,complexity_fraction,mean,std,n,median,sem,ci95,source_fraction_column,semantic_fraction_name
coverage_greedy,0.00390625,0.5589247711044381,0.2458344523774281,72,0.5374190626394229,0.0289718680542268,0.05678486138628453,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.0078125,0.6918096195340467,0.3108795309770534,72,0.7947900020269225,0.03663750408099464,0.0718095079987495,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.015625,0.6504319400773327,0.322695054365157,72,0.7169365424846601,0.03802997686616069,0.07453875465767495,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.03125,0.5476327974463455,0.2669901020647152,72,0.5884055055409037,0.03146508527994143,0.0616715671486852,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.0625,0.43125062690125243,0.31742064811073956,120,0.3017085186149274,0.02897640819802694,0.056793760068132804,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.09375,0.3265092221337289,0.15460301969368634,48,0.31182138309379137,0.022315023759419707,0.04373744656846262,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.125,0.43697451454446207,0.30907081697264827,120,0.3478751637706915,0.028214176387078335,0.055299785718673534,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.15625,0.5696842017952958,0.18617448276194204,48,0.5955823163495861,0.026871971934711646,0.052669064992034824,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.1875,0.7216405724503862,0.19515310886142734,48,0.7391475128396152,0.028167924983584357,0.055209132967825335,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.25,0.9829168913723988,0.04789527597496881,48,0.9999999974127068,0.006913087619264915,0.013549651733759232,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.00390625,0.5225608505426462,0.24753255058552207,72,0.46437872319522766,0.029171990847237463,0.057177102060585426,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.0078125,0.6354737824157211,0.3369700157392411,72,0.73320273943008,0.03971229719762585,0.07783610250734666,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.015625,0.6852237107602465,0.3663763394172292,72,0.8892718499868113,0.04317786567803783,0.08462861672895415,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.03125,0.5862484441767015,0.30547342225043117,72,0.664438282331833,0.036000388057590246,0.07056076059287689,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.0625,0.37604488063398706,0.22639529884126608,120,0.3297973327982142,0.020666968681414103,0.04050725861557164,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.09375,0.31287292814814427,0.13912615399539896,48,0.2970025929502381,0.02008113061514023,0.039359016005674846,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.125,0.4829429749825628,0.30378140273861337,120,0.40654078903782215,0.027731321138416698,0.05435338943129673,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.15625,0.5717305129834281,0.194448779015316,48,0.5998192179577628,0.028066263727021687,0.05500987690496251,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.1875,0.7512503466493063,0.18249217385546884,48,0.7612383797786352,0.02634047642511373,0.05162733379322291,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.25,0.9804562555950317,0.06556190399801,48,0.9999999972103976,0.009463045730458869,0.018547569631699384,hh_fraction_actual,high-complexity fraction
