method,method_label,n_tasks,mean_validated_score,ci95_low,ci95_high,median_validated_score,std_across_tasks
dynamics_aware,Dynamics-aware allocation,36,0.3594489741242594,0.29337821113877,0.4297464683186263,0.3225357830524444,0.2132138946834595
spectral,Spectral,36,0.3247529496956203,0.2572946237581264,0.393984584743157,0.3305666744709015,0.2119442810573921
feedback_hub,Feedback hub,36,0.3115428744090928,0.247873688978143,0.3760795306983507,0.2973462790250778,0.2023906580572027
high_degree,High degree,36,0.2959395382139418,0.2357049275965739,0.3582945425063371,0.2923585176467895,0.190370388284103
module_bridge,Module bridge,36,0.2959395382139418,0.2357543210887039,0.3593142810096549,0.2923585176467895,0.190370388284103
cycle_proxy,Cycle proxy,36,0.293375082520975,0.2386523244980101,0.3502810864786927,0.3137307614088058,0.1743205511521879
random,Random,36,0.1140973807471001,0.0824854107210032,0.1490674513122737,0.0672081074153538,0.1030986940542592
