placement,complexity_fraction,mean,std,n,median,sem,ci95,source_fraction_column,semantic_fraction_name
coverage_greedy,0.00390625,0.007292702571418002,0.027409417274829897,72,0.0070936816738051,0.0032302308039006537,0.006331252375645281,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.0078125,0.011566698097079262,0.0368889704872515,72,0.0114113922343423,0.004347406863754327,0.008520917452958479,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.015625,-0.0056678630270373485,0.03162173036273207,72,-0.00993023468856905,0.003726656662056732,0.007304247057631195,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.03125,-0.01640274284072334,0.033809150139904515,72,-0.0095519085330431,0.003984446555013433,0.007809515247826328,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.0625,0.01998091297752021,0.04876765962126133,120,0.01562434180856135,0.004451857875216446,0.008725641435424234,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.09375,0.049176019868912735,0.08710460117730143,48,0.013078712004768449,0.012572466234342494,0.02464203381931129,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.125,0.034698482300894146,0.08285156176147489,120,0.0033467382049751,0.0075632782168820415,0.0148240253050888,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.15625,0.08059361505495384,0.10161835618626265,48,0.0331744096965116,0.014667346324686505,0.028747998796385548,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.1875,0.09399049844232925,0.12191000940387989,48,0.0557052487110204,0.017596194186559968,0.034488540605657536,hh_fraction_actual,high-complexity fraction
coverage_greedy,0.25,0.09481502061274209,0.11823338491903143,48,0.048748008365706655,0.01706551915255086,0.03344841753899968,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.00390625,0.0017998659218977874,0.024849827720617737,72,-0.0012327884351865,0.0029285802820943753,0.005740017352904975,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.0078125,-0.0032975805713553207,0.03051084901485526,72,-0.0012508335956803,0.0035957380396938413,0.007047646557799929,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.015625,-0.007702500183204996,0.027617569960235105,72,-0.009360165042925101,0.0032547618331293555,0.006379333192933536,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.03125,-0.01581224712927247,0.027144054802306885,72,-0.00932529748876125,0.003198957536601745,0.00626995677173942,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.0625,0.008005135464820727,0.05340019259805956,120,-0.0053817137330674,0.004874748343512937,0.009554506753285357,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.09375,0.0455069718394108,0.08730201100656457,48,0.00438487816913415,0.012600959888858931,0.024697881382163504,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.125,0.047342374332495635,0.09047779889993467,120,0.00635126745589325,0.00825945523515172,0.01618853226089737,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.15625,0.07929721256461726,0.10821179090060588,48,0.0273036595773097,0.015619026651489077,0.030613292236918593,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.1875,0.09232902532003674,0.12787322743276378,48,0.0477163348130662,0.018456910570113103,0.03617554471742168,hh_fraction_actual,high-complexity fraction
cycle_proxy,0.25,0.07431084663422903,0.13232538996283696,48,0.0332754413853074,0.019099524878916533,0.0374350687626764,hh_fraction_actual,high-complexity fraction
feedback_hub,0.00390625,0.004962496682945881,0.027116437676840816,72,0.00422344255361245,0.0031957028271527555,0.0062635775412194,hh_fraction_actual,high-complexity fraction
feedback_hub,0.0078125,0.007121731622278041,0.031918375763433864,72,0.0058443476209643005,0.0037616166577974053,0.007372768649282914,hh_fraction_actual,high-complexity fraction
feedback_hub,0.015625,-0.0015221126754442304,0.02986473349754276,72,-0.00530067802413085,0.0035195925957402546,0.006898401487650899,hh_fraction_actual,high-complexity fraction
feedback_hub,0.03125,-0.014944976236996012,0.03442889436648175,72,-0.008416654568012601,0.004057484112549095,0.007952668860596226,hh_fraction_actual,high-complexity fraction
feedback_hub,0.0625,0.0066137985746162805,0.05128910579782268,120,-0.0024049116300297003,0.004682033366622746,0.009176785398580583,hh_fraction_actual,high-complexity fraction
feedback_hub,0.09375,0.05374535122752493,0.0921935363040841,48,0.01241715572660295,0.013306990750676623,0.02608170187132618,hh_fraction_actual,high-complexity fraction
feedback_hub,0.125,0.04450780746396184,0.0797503361508124,120,0.01339968858576215,0.007280176346403279,0.014269145638950426,hh_fraction_actual,high-complexity fraction
feedback_hub,0.15625,0.09235157518239112,0.0971466229242605,48,0.054888611012351304,0.01402190722404622,0.02748293815913059,hh_fraction_actual,high-complexity fraction
feedback_hub,0.1875,0.10000702914910221,0.11545208978214186,48,0.06223507298546425,0.016664073778556113,0.03266158460596998,hh_fraction_actual,high-complexity fraction
feedback_hub,0.25,0.09500258472562938,0.1187561751781522,48,0.04781635851267875,0.017140977426759133,0.0335963157564479,hh_fraction_actual,high-complexity fraction
high_degree,0.00390625,0.004254693567181649,0.02580869476281739,72,0.0054268893901203,0.0030415838467269854,0.005961504339584892,hh_fraction_actual,high-complexity fraction
high_degree,0.0078125,0.0071560537674552815,0.033707643651487894,72,0.0064348316210182995,0.0039724839006311284,0.0077860684452370115,hh_fraction_actual,high-complexity fraction
high_degree,0.015625,0.0027800715881954943,0.02780684383744402,72,0.00120625910585635,0.0032770679734753384,0.006423053228011663,hh_fraction_actual,high-complexity fraction
high_degree,0.03125,-0.01335458688872306,0.0283642177818629,72,-0.010169815925340199,0.0033427551227678855,0.006551800040625055,hh_fraction_actual,high-complexity fraction
high_degree,0.0625,0.00818465741393074,0.05421198445964861,120,-0.0007593515981795999,0.00494885446261151,0.009699754746718558,hh_fraction_actual,high-complexity fraction
high_degree,0.09375,0.053580520625823795,0.10095046044603602,48,0.0029036122264908997,0.014570943878333891,0.028559050001534424,hh_fraction_actual,high-complexity fraction
high_degree,0.125,0.040495217452812815,0.08363185246370967,120,0.007925625784839449,0.007634508686719632,0.014963637025970478,hh_fraction_actual,high-complexity fraction
high_degree,0.15625,0.08255054598018334,0.09192457334388592,48,0.0480713645902836,0.013268169291308508,0.026005611810964675,hh_fraction_actual,high-complexity fraction
high_degree,0.1875,0.09850285117146912,0.11475032340104281,48,0.0596357875583559,0.01656278252629717,0.03246305375154245,hh_fraction_actual,high-complexity fraction
high_degree,0.25,0.08186164379457911,0.10971459948097843,48,0.04696472232709385,0.01583593838609372,0.03103843923674369,hh_fraction_actual,high-complexity fraction
module_bridge,0.00390625,0.003997212029322006,0.02334348075673938,72,0.0040591382853432,0.0027510555899313495,0.005392068956265445,hh_fraction_actual,high-complexity fraction
module_bridge,0.0078125,0.002732963539512272,0.031635593344488004,72,0.00566475736713625,0.00372829043012458,0.0073074492430441765,hh_fraction_actual,high-complexity fraction
module_bridge,0.015625,0.0010070908211370722,0.0293333162939454,72,-0.0030576330271315,0.0034569644776897735,0.006775650376271956,hh_fraction_actual,high-complexity fraction
module_bridge,0.03125,-0.0119582884164603,0.03521066121883069,72,-0.008795832613848299,0.004149616219649562,0.00813324779051314,hh_fraction_actual,high-complexity fraction
module_bridge,0.0625,0.01144568294082777,0.05151338169325979,120,0.0016742141563247498,0.004702506861128676,0.009216913447812204,hh_fraction_actual,high-complexity fraction
module_bridge,0.09375,0.04977859097604186,0.08976921956629956,48,0.00651601748555305,0.012957070770386419,0.02539585870995738,hh_fraction_actual,high-complexity fraction
module_bridge,0.125,0.04306597519014912,0.08653030380202992,120,0.0081742337314164,0.007899099883357805,0.015482235771381298,hh_fraction_actual,high-complexity fraction
module_bridge,0.15625,0.07947842038671508,0.10376931994748023,48,0.037405083338909406,0.01497781120132553,0.02935650995459804,hh_fraction_actual,high-complexity fraction
module_bridge,0.1875,0.10098242161730868,0.11650827466464969,48,0.0593938311471056,0.01681652093511359,0.03296038103282263,hh_fraction_actual,high-complexity fraction
module_bridge,0.25,0.09213649544182588,0.12368449225505398,48,0.054732324469861954,0.017852318724509403,0.03499054470003843,hh_fraction_actual,high-complexity fraction
random,0.00390625,0.0,0.0,72,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
random,0.0078125,0.0,0.0,72,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
random,0.015625,0.0,0.0,72,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
random,0.03125,0.0,0.0,72,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
random,0.0625,0.0,0.0,120,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
random,0.09375,0.0,0.0,48,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
random,0.125,0.0,0.0,120,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
random,0.15625,0.0,0.0,48,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
random,0.1875,0.0,0.0,48,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
random,0.25,0.0,0.0,48,0.0,0.0,0.0,hh_fraction_actual,high-complexity fraction
