complexity_fraction,mean,std,n,sem,ci95
0.0,10.79296875,0.974414303916503,4,0.4872071519582515,0.9549260178381729
0.015625,12.670572916666666,1.2467323827167496,12,0.35990063838446945,0.7054052512335601
0.0625,16.694010416666668,0.8432160645752469,12,0.24341551093376784,0.47709440143018494
1.0,68.076171875,0.0884746222883291,4,0.04423731114416455,0.08670512984256251
