placement,complexity_fraction,mean,std,n,median,sem,ci95
cycle_proxy,0.00390625,0.12491781007692332,0.04277542309755262,24,0.11599853825658205,0.008731496676722149,0.01711373348637541
cycle_proxy,0.0078125,0.1344081282400967,0.03786371321763044,24,0.1190558596080517,0.007728898095855801,0.015148640267877371
cycle_proxy,0.015625,0.13194882445427009,0.02580496257492338,24,0.1316600613854237,0.005267415928348218,0.010324135219562507
cycle_proxy,0.03125,0.11707173149258349,0.037512354231388365,24,0.12508060888955286,0.007657177243119579,0.015008067396514375
cycle_proxy,0.0625,0.07151627986490001,0.021278588020470834,24,0.0765908646739058,0.004343473591421027,0.008513208239185213
cycle_proxy,0.09375,0.0724667296525252,0.04662726822540984,24,0.05455761694025875,0.009517751271011786,0.0186547924911831
cycle_proxy,0.125,0.09479394631004108,0.08654492589591392,24,0.0635807014898994,0.017665909022664284,0.034625181684421996
cycle_proxy,0.15625,0.12690212070512674,0.12261359004355697,24,0.0851964977220564,0.025028394261459537,0.04905565275246069
cycle_proxy,0.1875,0.163144886439863,0.14629782248780235,24,0.11071393568899635,0.029862917964615505,0.05853131921064639
cycle_proxy,0.25,0.20626276804084553,0.16232043116011938,24,0.14680582979561269,0.03313351926423795,0.06494169775790638
cycle_proxy,0.375,0.23984024440930785,0.17374498507056146,24,0.189487884058325,0.035465546565863065,0.0695124712690916
cycle_proxy,0.5,0.2592688854925601,0.15205586672053167,24,0.20891332913996286,0.03103827382182903,0.0608350166907849
cycle_proxy,0.75,0.2944082014715476,0.16142293754177264,24,0.27002052434154744,0.03295031914654181,0.06458262552722195
feedback_hub,0.00390625,0.12459463233555983,0.03591367162663318,24,0.12332317729740315,0.007330847522926769,0.014368461144936468
feedback_hub,0.0078125,0.14651544532899655,0.03426354530973162,24,0.14343269566112793,0.006994016898964524,0.013708273121970467
feedback_hub,0.015625,0.14546583329376347,0.02742425160938998,24,0.14520920876819998,0.005597951918392152,0.010971985760048618
feedback_hub,0.03125,0.12016990837328277,0.035138864053620746,24,0.13071658364341626,0.007172690589366379,0.014058473555158104
feedback_hub,0.0625,0.07507080117385058,0.0391731901429226,24,0.0709763142420473,0.007996193953932001,0.01567254014970672
feedback_hub,0.09375,0.07914026391094565,0.057620385324344846,24,0.06147547633914795,0.011761711902266422,0.023052955328442187
feedback_hub,0.125,0.12042207341719473,0.10478788085411987,24,0.08124669107250154,0.021389736610012703,0.0419238837556249
feedback_hub,0.15625,0.16392659002985308,0.1451056895397151,24,0.1097014858503491,0.02961957484558437,0.058054366697345365
feedback_hub,0.1875,0.2116404510038078,0.1777599900482761,24,0.15680315217292115,0.036285106025041015,0.07111880780908039
feedback_hub,0.25,0.26757936528682863,0.20345661251954075,24,0.2125706489923579,0.04153040712233556,0.08139959795977769
feedback_hub,0.375,0.31022891955371995,0.20446093152884273,24,0.2524553599965896,0.0417354128816495,0.08180140924803303
feedback_hub,0.5,0.3024245834029017,0.18552227022872494,24,0.32979670844870435,0.0378695748319259,0.07422436667057476
feedback_hub,0.75,0.3476230601886725,0.1998767109666146,24,0.35097169728109223,0.040799662777830044,0.07996733904454688
gpu_surrogate,0.00390625,0.1300621429476961,0.036623318648559985,24,0.1300543137135538,0.007475703614693964,0.01465237908480017
gpu_surrogate,0.0078125,0.13664178637669788,0.039876973837794365,24,0.13398267982204295,0.008139853199075871,0.015954112270188708
gpu_surrogate,0.015625,0.14228689272190745,0.036846556333669817,24,0.1395731042090895,0.007521271816350564,0.014741692760047106
gpu_surrogate,0.03125,0.1317425864499057,0.029067301320349345,24,0.1246836035224484,0.005933338036215305,0.011629342550981997
gpu_surrogate,0.0625,0.09334240440514308,0.022830747776604866,24,0.08572505692585715,0.004660306874905289,0.009134201474814366
gpu_surrogate,0.09375,0.08374706655834822,0.02951401054657707,24,0.0757890216925647,0.006024522175186256,0.011808063463365062
gpu_surrogate,0.125,0.11429508776603729,0.07661615175047136,24,0.0831481528988984,0.01563920648702492,0.030652844714568844
gpu_surrogate,0.15625,0.13975949044929784,0.09660199718604098,24,0.09644152703246925,0.01971880010329807,0.03864884820246422
gpu_surrogate,0.1875,0.19217838006727317,0.12572517883169684,24,0.171247663683606,0.02566354466315185,0.050300547539777626
gpu_surrogate,0.25,0.23285005406612236,0.15549045622717578,24,0.20276466395905418,0.03173935646909532,0.06220913867942683
gpu_surrogate,0.375,0.2899072672285899,0.16351288735293104,24,0.25851364911733427,0.033376928365322155,0.06541877959603142
gpu_surrogate,0.5,0.31839830331694347,0.19118009110780657,24,0.3288046351303865,0.03902447268274381,0.07648796645817786
gpu_surrogate,0.75,0.30436199567746985,0.15035868598612023,24,0.32109813082366157,0.030691838255113194,0.060156002980021855
high_degree,0.00390625,0.12729713234482506,0.03915797036578797,24,0.11793251083418375,0.007993087229933775,0.0156664509706702
high_degree,0.0078125,0.14414686177990563,0.0395962731081898,24,0.1398555453508766,0.008082555402579359,0.015841808589055543
high_degree,0.015625,0.14609776712815553,0.03464979731389302,24,0.13934673073880316,0.007072860259158089,0.013862806107949854
high_degree,0.03125,0.12486336756307241,0.03816971948863791,24,0.1202788156265984,0.0077913613643608125,0.015271068274147192
high_degree,0.0625,0.0719594393003603,0.03453181311018318,24,0.0703929722943866,0.007048776834424948,0.013815602595472898
high_degree,0.09375,0.07096215628819336,0.05217521273895304,24,0.0633335849036044,0.010650220702632975,0.02087443257716063
high_degree,0.125,0.10389755457881748,0.09542522969587953,24,0.06428670299788361,0.019478593445232138,0.03817804315265499
high_degree,0.15625,0.14786911912538087,0.1350544750062309,24,0.089743669687669,0.027567879270394145,0.05403304336997252
high_degree,0.1875,0.19291248582676523,0.1650378447436952,24,0.1227378638482774,0.03368820898922701,0.06602888961888494
high_degree,0.25,0.24897129982691701,0.19822710052045533,24,0.15978385809565426,0.040462937455542115,0.07930735741286254
high_degree,0.375,0.307759739293812,0.19249657931457453,24,0.267016144520295,0.03929319971265824,0.07701467143681015
high_degree,0.5,0.31343192937086894,0.1691669633659961,24,0.3797634491731944,0.03453106179856543,0.06768088112518825
high_degree,0.75,0.34668404179953033,0.1886532222865449,24,0.33152172800676927,0.03850867774449056,0.07547700837920149
module_bridge,0.00390625,0.12666994834978273,0.03542800430172597,24,0.12343612233975759,0.007231711095363007,0.014174153746911493
module_bridge,0.0078125,0.1433830414748772,0.035710775495022384,24,0.14149173966535022,0.00728943152349085,0.014287285786042067
module_bridge,0.015625,0.1544635822363035,0.03942184073238979,24,0.1429551235645941,0.008046949542968408,0.01577202110421808
module_bridge,0.03125,0.1188712058734178,0.032914566306475095,24,0.1062873518289841,0.006718657712988962,0.013168569117458366
module_bridge,0.0625,0.07053708979035553,0.0315231778015527,24,0.06053038067916075,0.006434641723736143,0.012611897778522839
module_bridge,0.09375,0.0713452787887756,0.0509358616567471,24,0.05864768204728705,0.010397239222335418,0.02037858887577742
module_bridge,0.125,0.10428462178101304,0.09760664522370385,24,0.0576797584268774,0.01992387302524494,0.03905079112948008
module_bridge,0.15625,0.15323622115584237,0.14164698968602585,24,0.09054647768197324,0.028913570694336248,0.056670598560899045
module_bridge,0.1875,0.18830417196235194,0.16740345078405897,24,0.13035029831668615,0.03417108630017175,0.06697532914833663
module_bridge,0.25,0.24990719128058614,0.19066860753541823,24,0.18399396707769466,0.038920066535729866,0.07628333041003053
module_bridge,0.375,0.3123049735984641,0.19419313341690053,24,0.2816642658084447,0.03963950736863526,0.0776934344425251
module_bridge,0.5,0.3369720375407745,0.1788621880116053,24,0.3470853368319575,0.03651009124218196,0.07155977883467665
module_bridge,0.75,0.3542458479566551,0.2042209287352186,24,0.3503308291367686,0.0416864225165477,0.0817053881324335
random,0.00390625,0.11635431036302814,0.03962538358523067,24,0.10074287411549145,0.008088497553822621,0.015853455205492337
random,0.0078125,0.14163421452725952,0.03957963780322239,24,0.13978041295385008,0.008079159735172215,0.015835153080937543
random,0.015625,0.15537814704095612,0.03625949729092181,24,0.1542334994242143,0.007401438891048951,0.014506820226455944
